,q
1752,5666.4
1753,5877.76
1754,5700.76
1755,5932.48
1756,6017.4
1757,5785.76
1758,5930.4
1759,5877.4
1760,5799.4
1761,5967.4
1762,5820.4
1763,6105.4
1764,6178.4
1765,6106.76
1766,5733.4
1767,5681.4
1768,5980.4
1769,5711.4
1770,5817.48
1771,5849.12
1772,5763.76
1773,6157.48
1774,5946.4
1775,5983.4
1776,5554.4
1777,5856.4
1778,5898.76
1779,5987.76
1780,6258.4
1781,6036.4
1782,6046.76
1783,6096.4
1784,6016.4
1785,6065.4
1786,5879.48
1787,5862.4
1788,5662.4
1789,5760.4
1790,5742.76
1791,5636.4
1792,5745.4
1793,5755.12
1794,6165.12
1795,5737.4
1796,5761.12
1797,6513.12
1798,5787.76
1799,5665.4
1800,5569.4
1801,6316.4
1802,5870.76
1803,6157.76
1804,5906.4
1805,5938.4
1806,5717.4
1807,5745.4
1808,5830.4
1809,5936.4
1810,5766.4
1811,5756.76
1812,6047.76
1813,5567.4
1814,5685.4
1815,5868.4
1816,5863.76
1817,5728.12
1818,5657.76
1819,5928.4
1820,5970.48
1821,6035.84
1822,5839.76
1823,5725.4
1824,5889.76
1825,5649.4
1826,5881.76
1827,5830.12
1828,5876.4
1829,5740.12
1830,5611.4
1831,5753.76
1832,5959.12
1833,5695.4
1834,5774.4
1835,5917.4
1836,5883.4
1837,5764.76
1838,6130.4
1839,5974.4
1840,5881.76
1841,5681.4
1842,5736.4
1843,5801.4
1844,6135.4
1845,5665.4
1846,5686.4
1847,5967.4
1848,5967.76
1849,5775.4
1850,5785.76
1851,5923.76
1852,5898.4
1853,6040.76
1854,5772.12
1855,5981.76
1856,5542.4
1857,5945.4
1858,5679.76
1859,5991.4
1860,5770.4
1861,5985.4
1862,6091.76
1863,5879.76
1864,5795.4
1865,6021.4
1866,5842.4
1867,5864.76
1868,5896.4
1869,5939.84
1870,6128.4
1871,5749.4
1872,5904.48
